,review_content
0,"I got to admit I wasn't particularly blown away by anything in the movie.. I might even say ""I was bored"" by it.Don't get me wrong.. it IS a spectacle! The action is great. The locations are nice, costume design, sound design, etc. But it is overall a soft release not worth seeing in theaters.. specially as a follow-up to what Endgame was.The biggest problem for me, is how the underwritten lead has muddled personality (for reasons covered in the story) devoid of charm, personality or good dialogue.The next issue is the humor, which didn't land for me.. Not once. The supporting lead Awkwafina isn't her normal ""loud"" self that's supposed to be funny every time she opens her mouth. Her role is very supportive and a little dramatic. And while I questioned myself why was she even there for, it doesn't ultimately matter. She is another forgettable character that is given more importance than the role deserves.Finally, the third act is weak. There's a balancing problem with stakes. You can't feel tension or weight to any action. And there's a lot of superficial ""I can't do it"" until they can.In the end, this feels like a very safe plot, written in a way to appeal to china (considering how the Mandarin is portrayed), that ends up appealing to no one specific. Certainly doesn't feel like a Marvel movie.. but it was bound to happen if we are to be introduced to different aspects of the narrative. But it also doesn't feel like a comic book. It's more generic than that."
1,"The characters are a bit incoherent and straight up contradict their own characterizations at times, because the plot needs them to do it. There are a bunch of unneeded ""deux-ex machina"" or conveniences because the writers trapped themselves into corners for no reason (that's what happens when you get the 2021 ""Mortal Kombat"", ""WW84"" and ""The Expendables"" writers).Also, we have Awkwafina destroying every type of scene (dramatic; epic; and also the comedic ones) with one of the worst ""acting"" I've ever seen and a same type of joke (""awkward nonsense"") over and over, from start to finish, with a role ridiculously large for a dumb comic relief.But... Liu is actually pretty good as a lead (and his character is potentially great), and the ""Shang-Chi world"" is beautiful and it has everything to be super fun to watch in the future...without Awkwafine and better writers."
2,"RATED 8/10
Language: English
Source: Hotstar
RECOMMENDEDThe story and making is worth to watch in big screen with good sound system. The first half is filled with great actions and funny moments and it get into serious mode in the second half.The second half is more traditional and sentimental....the decent story and colourful visual makes this so grand...
Good movie to watch with family."
3,"Everything comes in it beautiful science fiction and beautiful mythical creatures. Sometimes you have creatures that don't seem real, but these just seemed real. Well done! There was a bit of avatar feeling in it. Fighting for the safekeeping of peace. Really beautiful. And self-acceptance was also nicely incorporated."
4,"The story was riddled with holes and plot issues. Since when does Awkwafina's pedestrian character all of a sudden get invited to become part of the MCU team? What's her super power... stupidity? Don't get me wrong, I love her, but her character was lazily written. Then there's the whole daddy issues dynamic - Shang is with him, then against, then with etc.. Then we have these ridiculous dragons fighting, where one scores some power crystals and becomes stronger! This is just infantile lazy writing. There was zero shock value or anything spectacular in the entire runtime, with tedious long middle acts and a bumbling third act. The jokes were cliched and not funny. The funniest parts were Ben Kingsley's character, (of whom was in this for what reasons??) and the ending to go Karaoke - which was the only time I actually cracked a chuckle. You'd think with three writers we'd have something cohesive and coherent. But instead of a Marvel superhero story, we got a Disney evil vs good with dragons thrown into the mix. It's as if they tried too hard to create the Asian version of Black Panther.It's a shame, because the directing and cinematography were spot on, and great S/VFX - although a little overboard with the CGI i.e. Dragons. The martial arts choreography was outstanding (although again, overboard after the awesome bus scene), and the casting and performances were excellent, especially Leung, who pretty much carried the film on his shoulders. It's a 7/10 from me."
5,"Destin Daniel Cretton's 'Shang-Chi and the Legend of the Ten Rings' marks a bland start to the new phase of Marvel Cinematic Universe. It is a spectacle with regards to action sequence and fighting choreography, but the film misses a solid storyline for an origin story as its titular character lacks personality and does not go through any heroic transformation story arc. Simu Liu has a strong presence as Shang-Chi, yet he is overshadowed by many of his more experienced co-stars."
6,"Shang-Chi is one of Marvel Comic's most unknown and underutilized characters in their comics, with his original comics containing a decent amount of racist imagery and embarrassing caricatures of various Asian stereotypes. At it's best, the MCU can turn any obscure group or concept from the comics into gold, and Shang-Chi is no different.Shang-Chi might be one of the best examples of an idea that's actually better on film than the original source material, with the character's relationships, motivations, and place in the overall Marvel Universe all being improved upon in the film adaptation as opposed to the comics where he's mainly a hand-to-hand expert with no powers or special weapons, and isn't generally of much value to The Avengers.Simu Liu is charismatic and athletically gifted enough to do solid justice to the lead role. I hope the sequel gives him even more to do with his character and his legacy, but for an introduction, this was great. Awkwafina, Michelle Yeoh, and of course the legendary Tony Leung all lend their talents to a great cast of characters.Wen Wu is easily one of the top villain/antagonist characters in the MCU and probably all of comic book films. He's intimidating and masterful as a ruler, but heartfelt and believable as a family man. His presence elevates the entire production as he's a legend of cinema.There's moments reminiscent of Black Panther, and the third act gets heavy into Chinese mythological imagery, but understand that this is not only meant as a superhero movie, but also a love-letter to Chinese storytelling and culture.Shang-Chi features some of the best physical/non-super powered fight scenes in the MCU, with the choreography and the cinematography of said action taking a higher level. As soon as I saw the bus fight scene in the opening I had no worries about this part of the movie.The Ten Rings themselves are not a weapon used in the comics, and are a wonderfully creative, versatile, and visually stunning weapon unlike anything I've ever seen before, and that's not an easy thing to say having seen as much comic book and sci-fi material as me.Some of the pacing and character development could be a little better, but overall Shang-Chi is on the higher end of Marvel movies, and can also be solidly enjoyed by audiences totally unfamiliar with Marvel in general."
7,"I am not a big fan of the many, many Marvel films. The only reason I saw this one was that my oldest daughter insisted I watch it....and overall I was impressed by the movie, though I think it was enjoyable more for the insane eye candy than the story itself.I could talk about the plot but just noticed that there are over 2000 reviews for this film. So, I'll just say that it looked great and would have been great to have seen it on the big screen. The story itself, though enjoyable, wasn't one that particularly grabbed me or impacted on me...possibly because it was so violent and frenetic that the film, as a consequence, lacked intimacy and humanity."
8,"I'll be honest - Marvel movies are not in my top 20 or even 50 but within the Marvel ""Universe"" I would say that Shang-Chi is in my top 5. I know, it's blasphemy and all that but think about it - is it better than Iron Man? I would admit yes - it's origin story is arguably better, and it's characters are a lot deeper. The Mandarin is a conflicted man, with evil but good as well, like real life. Is this movie better than The Avengers or Ragnarok or Infinity Wars? Hard to say, which means it's right up there with the best (of Marvel) in my opinion.Plus, I'm a sucker for Chinese movies with the Chinese language being spoken - 1 of my favourite of all times, if not my absolute favourite, is of course 'Hero.' The Chinese language and the artistry of it's culture are magnificent.All in all, well done Marvel, director Destin, and all those who worked to make this movie a reality. This is not just your average summer action movie; it's close to being a Masterpiece. And the humour is pretty swell too!Cheers."
9,"The best marvel movie after Endgame. The story is a bit cliché but the rest is absolutely amazing. The fight scenes are the best in the MCU in my opinion. Simu Liu as Shang-Chi is perfectly chosen and all the other characters are nice and the all the actors do a good job. Act 3 is on another level that we haven't seen before in MCU and the visual effects are spectacular, by far one of the best origin stories from Marvel!"
