Doc_Id,Review,Cleaned Data,Sentimental Analysis
Review 1,"Every once in a while a movie comes, that truly makes an impact. Joaquin's performance and scenography in all it's brilliance. Grotesque, haunting and cringy. Hard to watch at times,... but so mesmerizing, you won't blink an eye watching it. Tragic, but with seriously funny moments. Emotional rollercoaster - sometimes, with multiple emotions popping-up at the same time.

this is far from a typical action-riddled predictable super-hero movie - it's a proper psychological thriller/drama, with the single best character development I have ever seen.",everi movi come truli make impact joaquin perform scenographi brillianc grotesqu hunt cring hard watch time mesmer wont blink eye watch tragic serious funni moment emot rollercoast sometim multipl emot pop time far typic actionriddl predict superhero movi proper psycholog thrillerdrama singl best charact develop ever seen,Positive
Review 2,"This is a movie that only those who have felt alone and isolated can truly relate to it. You understand the motive and you feel sorry for the character. A lot of people will see this movie and think that it encourages violence. But truly, this movie should encourage each and every one of us to become a better person, treat everyone with respect and make each other feel like they belong in this world, instead of making them feel isolated.",movi felt alon isol truli relat understand motiv feel sorri charact lot peopl see movi think encourag violenc truli movi encourag everi one u becom better person treat everyon respect make feel like belong world instead make feel isol,Positive
Review 3,"Truly a masterpiece, The Best Hollywood film of 2019, one of the Best films of the decade... And truly the Best film to bring a comic book so chillingly and realistically to real ife. Remarkable Direction, Cinematography, Music and the Acting. Some people are surprised to find it DISTURBING and VIOLENT, but it's a necessity and message. It's about society and reflects those underappreciated/unrecognized/bullied people, proving they can do something too. The way it shows class difference, corruption and how rich and talented rule others around them is not exaggerated and that's what makes it different. It's BELIEVABLE. There could be multiple JOKERs living in our society that could shake those around them in much bitter way than the film shows making people uncomforting people. Consider this a wake up call, a message, but first a film. A PERFECT film.",truli masterpiec best hollywood film 2019 one best film decad truli best film bring comic book willingli realist real if remark direct cinematographi music act peopl surpris find disturb violent necess messag societi reflect underappreciatedunrecognizedbulli peopl prove someth way show class differ corrupt rich talent rule other around exagger that make differ believ could multipl joke live societi could shake around much bitter way film show make peopl comfort peopl consid wake call messag first film perfect film,Positive
Review 4,"Joaquin Phoenix gives a tour de force performance, fearless and stunning in its emotional depth and physicality. It's impossible to talk about this without referencing Heath Ledger's Oscar-winning performance from The Dark Knight, widely considered the definitive live-action portrayal of the Joker, so let's talk about it. The fact is, everyone is going to be stunned by what Phoenix accomplishes, because it's what many thought impossible - a portrayal that matches and potentially exceeds that of The Dark Knight's Clown Prince of Crime",joaquin phoenix give tour de forc perform fearless stun emot depth physic imposs talk without referenc heath ledger oscarwin perform dark knight wide consid definit liveact portray joke let talk fact everyon go stun phoenix accomplish mani thought imposs portray match potenti exce dark knight clown princ crime,Neutral
Review 5,"Most of the time movies are anticipated like this they end up falling short, way short. Joker is the first time I was more than happy with the hype. Please ignore the complaints of ""pernicious violence"" as they are embarrassing to say the least. We haven't seen a comic movie this real before. If we ever ""deserved"" a better class of criminal - Phillips and Phoenix have delivered. This is dark, Joker IS dark and you will fall in love with the villain as you should. The bad guys are always more romantic anyway.",time move anticip like end fall short way short joke first time happi hope plea ignor complaint pernici violenc embarrass say least haven seen comic movi real ever deserv better class crimin phillip phoenix deliv dark joke dark fall love villain bad gun alway romant anyway,Negative
Review 6,"Let me start off by saying if Joaquin Phoneix doesn't get his Oscar for this movie. Then the Oscars should be cancelled. Phoneix is amazing as you might've heard from every review ever! But Todd Phillips. Is at his best here. The story lines he takes and visuals are just breathtaking. The score!! Omg the Score! Every time that score came on, I felt very uncomfortable, like something horrible was about to happen. It was GREAT. The Inspirations from Taxi Driver and King of Comedy are there, and add so much for the movie. And I got to be honest. There are scenes that are very violent. And its disturbing. But I honestly expected it to be WAYYYY more violent from all the controversy going on. Overall this movie was GREAT. Come Oscar season, it needs to be nominated for Best Picture, ScreenPlay, Cinematography, Actor, Score and Director",let start say joaquin phoenix doesn get oscar movi scar cancel phoenix amaz might heard everi review ever told phillip best stori line take visual breathtak score org score everi time score came felt uncomfort like someth horribl happen great inspir taxi driver king comedi add much movi got honest scene violent disturb honestli expect wayyyi violent controversi go overal movi great come oscar season need nomin best pictur screenplay cinematographi actor score director,Positive
Review 7,"I get why some people hate this . It's because of the political message and how some people think that you need get empathy for Arthur's madness. But come on that is not the point and it will never be. Enjoy this masterpiece because Joaquin Phoenix and Todd Phillips overdid themselves with this movie . The acting,music and cinematography are just amazing ! Please enjoy the movie without overthinking it.",get peopl hate polit messag peopl think need get empti arthur mad come point never enjoy masterpiec joaquin phoenix told phillip overdid movi actingmus cinematographi amaz plea enjoy movi without overthink,Positive
Review 8,"I have seen Joker yesterday at Venice an early ill-fated screening. We had some trouble with audio that lead to a near-hour delay, but it definitely was worth it.

Joker deserved to be presented at Venice Film Festival, an event that regards cinema as a form of art, because this film is far from a blockbuster or a mere entertainer movie, as most films in the genre are.

It focuses on the psyche of the main character, as it slowly crumbles under the pressure of society. And thus, Joaquin Phoenix does a wonderful performance, earning almost surely a nomination at the oscars at least. It's a take on the Joker that differs from Ledger's, but I'd say that both are equally as good. The main difference might be that Ledger's joker is a rational that acts insane, while Phoenix's is insane to the root.

Despite being a movie about a superhero villain, Joker is much superior to most of the movies of the genre (I'd exclude the Dark Knight Trilogy only, but Joker is easily as good as Nolan's movies, or at least very close). It is a small-scaled film, with a distinct style and cinematography (that cannot but be appreciated) and a set of very cinephile references that however do not feel too forced or overly opressive. (most notable are the similarities to Scorsese's 'Taxi Driver' and his 'The King of Comedy', but also Chaplin's 'Modern Times' is somewhat referenced).

I am eager to see more non-comedic efforts by Todd Phillips. This movie was so far probably the best of 2019 (at worst contested so far only by Dolor Y Gloria or Once Upon a Time in Hollywood), and that should be very convincing.",seen joke yesterday venic earli inflat screen troubl audit lead nearhour delay definit worth joke deserv present venic film festiv event regard cinema form art film far blockbust mere entertain movi film gene focus psychic main charact slowli crumbl pressur societi thu joaquin phoenix wonder perform earn almost sure nomin scar least take joke differ ledger id say equal good main differ might ledger joke ration act insan phoenix insan root despit movi superhero villain joke much superior move gene id exclud dark knight trilog joke easili good plan move least close smallscal film distinct style cinematographi can not appreci set cinephil refer howev feel forc overlay oppress notabl similar scorses taxi driver king comedi also chain modern time somewhat refer eager see noncomed effort told phillip movi far probabl best 2019 worst contest far door gloria upon time hollywood convinc,Positive
Review 9,"It's sad that Joaquin missed Oscar for 'The gladiator' as he was very compelling Villain. But I am quite confident he will win it for the 'Joker'. Damn what a movie !!! Keeps u on the toes all the time. Unpredictable storyline and really a deep interesting plot. Did I forget to mention acting ? Damn Do niro and Joaquin teach u what really is 5 star acting. To enjoy this movie, get a wine in your hand, close the curtains, turn of ur cellphones and put do not disturb sign on ur door. Best Dark thriller suspense movie you will get to experience.",sad joaquin miss oscar gladiat compel villain quit confid win joke damn movi keep u toe time predict storylin realli deep interest plot forget mention act damn no joaquin teach u realli 5 star act enjoy movi get wine hand close curtain turn or cellphon put disturb sign or door best dark thrill suspens movi get experi,Positive
Review 10,"This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.

If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you.",movi caus audienc consid mani topic moral particularli poor choic made joke joke reliabl movi antagonist usual think give realist view bad peopl usual 100 bad way societi often judg import know sympath joke toward begin movi need identifi threat begin make certain bad choic movi suitabl adult will pick apart think clinic isn light amus substanc make good agent abl ponder underli theme hand thought isn best movi,Positive
